9abb5dc5-1c92-47f7-b2a6-6e12c1cda4a4,29-5-2020 06:49:16,-10
d3f29d21-4cfd-4e6d-b5bf-5b68541b5f49,11-7-2021 18:33:29,-17
f9864ec6-70d1-42fc-9159-ba74edccbc8a,21-12-2017 04:06:48,-10
8c7b89e3-896c-446d-a442-c85de4be5d31,13-7-2019 20:32:22,-5
c578b16d-ed08-4be9-9cb1-2147cc021af3,18-7-2018 17:38:56,37
fd9aad5e-a1fe-4b23-a48d-0d19b31e51dc,6-5-2019 03:51:28,-11
53123621-c547-489e-b781-6c4bf6077aab,15-3-2017 21:39:36,-24
a4ffacbb-ce39-47b5-a294-81b6aa76ec81,20-6-2018 14:48:56,-82
16105b60-ec4d-4469-be4e-42f32826a0b1,26-7-2019 06:41:16,30
db8438bd-31a1-486b-bad6-cafff2870e6d,4-2-2017 20:20:09,60
75e0900e-0cdc-461c-b884-47993c2c677c,4-6-2017 06:13:14,-15
60aff40c-2a8b-4564-946e-833f0870d35b,20-6-2021 21:13:10,-9
0a27c835-2c02-4d94-8408-78c9d16d97c7,13-7-2020 18:49:43,-14
33858884-60e7-47d7-8881-2847c6dd3040,24-7-2019 21:34:12,-47
12e5a73c-002b-49be-a4a2-f003884b6701,13-10-2018 19:28:48,56
5430f762-bd5a-40fe-845f-7efb0fe62cf1,17-9-2020 03:58:02,-25
aea8e79f-9702-4878-9301-f4cb3a4567ac,20-8-2020 18:37:29,-8
7fb97744-d84d-4522-b7c5-81f2a667e5d3,17-6-2017 03:22:51,-28
596e6790-1a6b-40ad-a7e9-00a4b7b2cf2e,12-8-2020 15:22:35,8
b5107441-977e-4f1c-92c3-5a024c3d0be2,13-6-2020 00:05:05,52
e1e44552-9b33-4506-ab2c-ba133ea13bb7,17-10-2019 00:08:29,-25
6baa67a3-afaf-4889-a647-019537cbe433,27-9-2019 17:29:00,43
623a7084-1f8c-4581-a0bf-ad56dc3f7593,27-6-2018 03:24:39,-49
d73fead7-c91e-4a99-9b4f-fe98d8b27b6f,2-5-2020 19:47:50,-7
0c6c0f0a-3c31-4511-ac33-f669ffa1f034,14-7-2018 07:53:15,-17
64095027-7582-41a7-9e44-3b9d557e2857,13-3-2019 10:03:07,-50
d7bf6a68-7f61-4726-9641-d16f0698adf0,25-8-2018 13:57:20,-20
478437f5-c398-4503-baac-5c4ab8ed6fda,5-6-2018 00:35:38,-14
0dcdc4d4-0c64-4d7b-a625-1df9857268dc,6-12-2019 17:20:37,20
3f7643a1-2fd9-4292-8350-44d8c5f1faae,26-1-2020 15:38:50,27
0c70ef10-6868-4a23-9172-4116c87e505e,11-8-2017 14:01:52,74
c74fea2a-a141-4275-8354-11cbe8384eab,22-2-2018 12:03:25,-55
87ed87b5-8916-4c3a-b15d-d54fbd173f14,1-12-2017 10:48:10,33
876b9ca9-fb34-4035-b585-c4a7498bcaaf,17-8-2018 12:40:33,24
e76052f0-e3d5-444e-8bf7-12cf31a6c113,6-12-2021 04:19:37,-5
c705b531-a756-451f-8167-c2715a2d1b17,17-12-2017 10:52:33,-8
737ba271-540f-464c-9cac-d4dc0bd581b0,18-5-2021 12:37:05,-20
0459686d-9c3d-4fef-89f1-e34eba5c41ea,25-2-2018 12:20:14,-7
6ba46bdf-a52e-4324-af3c-823c2a854ff3,13-1-2021 12:21:34,-6
165b57ba-acbf-4aa8-bf3f-ef8b7f2f7458,13-6-2018 03:35:58,-5
68b67012-8a80-4bca-82ec-3112519ae077,11-8-2018 16:47:58,-11
1f64778e-6f44-4886-be3f-c467b695fa03,15-10-2021 08:16:21,-16
8d736af6-2d77-45e7-be92-d8833ed290dc,22-3-2021 19:53:29,-23
4eac7d5e-270f-4a3a-9be4-78af53c8c69e,27-7-2019 07:01:05,-36
